genre,label,wikipedia_links
http://www.wikidata.org/entity/Q227045,zouk,22
http://www.wikidata.org/entity/Q235858,traditional folk music,81
http://www.wikidata.org/entity/Q564848,aria di sorbetto,3
http://www.wikidata.org/entity/Q567915,gigue,34
http://www.wikidata.org/entity/Q572717,music of Jamaica,8
http://www.wikidata.org/entity/Q572901,minimalist music,40
http://www.wikidata.org/entity/Q236913,space rock,32
http://www.wikidata.org/entity/Q573484,rocksteady,31
http://www.wikidata.org/entity/Q574651,anti-folk,17
http://www.wikidata.org/entity/Q236932,acid rock,31
http://www.wikidata.org/entity/Q239459,trip rock,7
http://www.wikidata.org/entity/Q241662,groove metal,46
http://www.wikidata.org/entity/Q267287,Dunedin sound,7
http://www.wikidata.org/entity/Q268253,neo soul,28
http://www.wikidata.org/entity/Q268673,music of the United Kingdom,18
http://www.wikidata.org/entity/Q2665906,music of Armenia,16
http://www.wikidata.org/entity/Q2668052,Dutch-language music,1
http://www.wikidata.org/entity/Q2682013,Swedish death metal,14
http://www.wikidata.org/entity/Q2682554,New Venice School,2
http://www.wikidata.org/entity/Q2687544,power electronics,15
http://www.wikidata.org/entity/Q2693142,techno body music,2
http://www.wikidata.org/entity/Q2697917,go-go,10
http://www.wikidata.org/entity/Q250090,ruba'i,49
http://www.wikidata.org/entity/Q251192,downtempo,30
http://www.wikidata.org/entity/Q252626,jota,30
http://www.wikidata.org/entity/Q2742742,music of Andalusia,4
http://www.wikidata.org/entity/Q2743435,psychedelic soul,15
http://www.wikidata.org/entity/Q2743758,music of Germany,19
http://www.wikidata.org/entity/Q2744144,Gharnati music,6
http://www.wikidata.org/entity/Q2746494,East Coast blues,5
http://www.wikidata.org/entity/Q2746731,parody music,13
http://www.wikidata.org/entity/Q2722134,lavani,18
http://www.wikidata.org/entity/Q2726026,konpa,15
http://www.wikidata.org/entity/Q2731147,tambourin,7
http://www.wikidata.org/entity/Q2736181,punk jazz,12
http://www.wikidata.org/entity/Q2737175,mélodie,6
http://www.wikidata.org/entity/Q542971,progressive death metal,2
http://www.wikidata.org/entity/Q544440,Indian film music,5
http://www.wikidata.org/entity/Q546206,Miami bass,14
http://www.wikidata.org/entity/Q546264,beat music,34
http://www.wikidata.org/entity/Q546359,doo-wop,38
http://www.wikidata.org/entity/Q547137,Latin pop,36
http://www.wikidata.org/entity/Q556959,mbalax,21
http://www.wikidata.org/entity/Q591990,jazz standard,25
http://www.wikidata.org/entity/Q592060,free improvisation,16
http://www.wikidata.org/entity/Q592330,dream pop,33
http://www.wikidata.org/entity/Q1344,opera,168
http://www.wikidata.org/entity/Q2743,musical play,89
http://www.wikidata.org/entity/Q2702280,Italo house,12
http://www.wikidata.org/entity/Q2706919,country rap,14
http://www.wikidata.org/entity/Q2707298,secular music,14
http://www.wikidata.org/entity/Q2707688,plainsong,14
http://www.wikidata.org/entity/Q2707994,Catalan rumba,13
http://www.wikidata.org/entity/Q484692,hymn,104
http://www.wikidata.org/entity/Q245296,zydeco,17
http://www.wikidata.org/entity/Q245931,music of Cyprus,12
http://www.wikidata.org/entity/Q2626684,chillwave,22
http://www.wikidata.org/entity/Q2631396,Brazilian rock,8
http://www.wikidata.org/entity/Q2631975,chorale cantata,4
http://www.wikidata.org/entity/Q2634010,acid breaks,4
http://www.wikidata.org/entity/Q2635155,Ahidus,13
http://www.wikidata.org/entity/Q2638634,old school EBM,2
http://www.wikidata.org/entity/Q2639210,Nederbeat,8
http://www.wikidata.org/entity/Q2640307,hardstep,10
http://www.wikidata.org/entity/Q584752,pornogrind,17
http://www.wikidata.org/entity/Q585588,Khaliji,7
http://www.wikidata.org/entity/Q586110,forró,22
http://www.wikidata.org/entity/Q590662,bend-skin,4
http://www.wikidata.org/entity/Q602498,nazi punk,12
http://www.wikidata.org/entity/Q602561,electro swing,19
http://www.wikidata.org/entity/Q602646,comedy hip-hop,14
http://www.wikidata.org/entity/Q602859,Lamentations of Jeremiah the Prophet,4
http://www.wikidata.org/entity/Q431415,tejano music,14
http://www.wikidata.org/entity/Q436016,early music,33
http://www.wikidata.org/entity/Q438476,alternative country,20
http://www.wikidata.org/entity/Q252821,Viennese couplet,2
http://www.wikidata.org/entity/Q252833,Alpine folk music,5
http://www.wikidata.org/entity/Q253137,rock opera,36
http://www.wikidata.org/entity/Q253918,melodic death metal,54
http://www.wikidata.org/entity/Q278357,oshare kei,10
http://www.wikidata.org/entity/Q278409,Hokkien pop,8
http://www.wikidata.org/entity/Q280955,German jazz,7
http://www.wikidata.org/entity/Q281111,ghazal,76
http://www.wikidata.org/entity/Q388475,Cuban rumba,22
http://www.wikidata.org/entity/Q388906,hardcore,36
http://www.wikidata.org/entity/Q389372,jeongak,8
http://www.wikidata.org/entity/Q389631,jumpstyle,28
http://www.wikidata.org/entity/Q324617,tarantella,44
http://www.wikidata.org/entity/Q325397,indietronica,17
http://www.wikidata.org/entity/Q325504,electronic rock,37
http://www.wikidata.org/entity/Q254866,Schuhplattler,12
http://www.wikidata.org/entity/Q254890,nova cançó,11
http://www.wikidata.org/entity/Q255406,jazz rap,26
