wikidata_id,name,kind,start,country,genres,photo_file,photo_author,photo_license,photo_license_url
Q1002589,Bugz in the Attic,group,,United Kingdom,Q2406633,,,,
Q100276699,Maverick City Music,group,2018,United States,Q1339121,Maverick City music.jpg,Artistrelationstribl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q1003115,Built to Spill,group,1992,United States,Q183504,Vegoose06 builttospill2 lg.jpg,Joshrhinehart,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q1006517,Off Course,group,1969,Japan,Q11324951,,,,
Q100978614,Glaive,person,2005,United States,Q107515261|Q104695865,Glaiveiwillfollowyouintothedark.jpg,Ryannwiki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q1010243,Buraka Som Sistema,group,2006,Portugal,Q1191544,Buraka Som Sistema.jpg,Libertinus,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q101505,Deep Purple,group,1968,United Kingdom,Q83270,,,,
Q1017857,Butch Morris,person,1947,United States,Q108297220,Butch Morris and Conduction.jpg,"Jon Hurd from Boulder, Colorado, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q1018174,Butthole Surfers,group,1981,United States,Q181861|Q131535243,Butthole Surfers.jpg,Viva Nola,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q1018354,Buzz Fuzz,person,1969,Kingdom of the Netherlands,Q820049,,,,
Q1022071,Frank Nagai,person,1955,Empire of Japan,Q10296747,Frank Nagai.jpg,Heibonsha Publishing company (平凡社) © 1957,Public domain,
Q1022574,C. W. McCall,person,1974,United States,Q7847156,,,,
Q1024747,Cabaret Voltaire,group,1973,United Kingdom,Q487965,Richard H Kirk DJ at Music For Real Airports Project 2010-04-24.jpg,Flickr user http://underclassrising.net/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q102616,Isolée,person,1998,Germany,Q1931555,,,,
Q1026810,Paul Revere and the Raiders,group,1958,United States,Q3752342,Paul Revere and the Raiders 1967.JPG,"Perenchio Artists, Inc. Los Angeles. (management)",Public domain,
Q10270314,Edison Machado,person,1949,Brazil,Q13634037,,,,
Q1027165,Three 6 Mafia,group,1991,United States,Q6010117|Q1253172|Q936573,Three 6 Mafia.jpg,Jay West (Flickr profile and Jay West photography.com),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/
Q10271783,Elevation Worship,group,2007,United States,Q1339121,Elevation Worship.jpg,Minnie Bannister,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q10280037,Fany Pfumo,person,1928,Mozambique,Q1786724,,,,
Q10280322,Fausto Bordalo Dias,person,1969,Portugal,Q109350090,FaustoChapito.jpg,"Filipe Saraiva from Lisboa, Portugal",CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q10281447,Fernando Mendes,person,1950,Brazil,Q2464314,,,,
Q10284562,Francisco Alves,person,1918,Brazil,Q10367220,"Francisco Alves, sem data.tif",Unknown,Public domain,
Q10285239,Francisco Xavier da Cruz,person,1895,,Q502535,,,,
Q1028565,Camera Obscura,group,1996,United Kingdom,Q370778|Q842324,,,,
Q10288367,Garota Safada,group,2003,Brazil,Q10283582,,,,
Q10289428,Gian & Giovani,group,1988,Brazil,Q106594830,Gian e Giovani.jpg,"*Savaman* from Sao Paulo City / Ipiranga, Brasil",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q1029506,Camilo Sesto,person,1964,Spain,Q5747258|Q6496560,"20170512, Camilo Sesto.jpg",Ministerio Secretaría General de Gobierno,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q10306713,Jerry Adriani,person,1964,Brazil,Q6296743,Jerry Adriani.jpg,Mauriciobotti,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q10306910,Jill Tracy,person,1995,United States,Q1166158,Jill Tracy backstage2.jpg,Jill Tracy,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q10308035,Jorge & Mateus,group,2005,Brazil,Q1958273|Q10370558,JeMperfil.jpg,Fellipe Erick,Public domain,
Q10310921,Jovelina Pérola Negra,person,1944,Brazil,Q3360459,,,,
Q10311963,João Paulo & Daniel,group,1980,Brazil,Q106594830,José Daniel Camillo.jpg,Sérgio (Savaman) Savarese,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q1031228,National Health,group,1975,United Kingdom,Q727803,,,,
Q1031338,Earthless,group,2001,United States,Q98528291,Earthless.jpg,Greg Neate,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q10314010,Katinguelê,group,1992,Brazil,Q10343541,,,,
Q10316110,Lamartine Babo,person,1904,Brazil,Q3889661,"Lamartine Babo, 1956.tif",Unknown,Public domain,
Q10317842,Lia de Itamaracá,person,1944,Brazil,Q504476,Liadeitamaraca minc flickr.jpg,"Janine Moraes, Ministério da Cultura (Brasil)",CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q10318415,Limão com Mel,group,,Brazil,Q10283582,,,,
Q10320631,Luiz Ayrão,person,1942,Brazil,Q10367222,Luiz ayrao remix tvbrasil.jpg,"Mídia promocional do programa Samba na Gamboa (TV Brasil), remix de Praxides",CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en
Q10322332,MC Leozinho,person,1977,Brazil,Q10286515,,,,
Q10322333,MC Guimê,person,2010,Brazil,Q15893013,MC Guime Performing Live in Sao Paulo.JPG,Tico Fernandes,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q10322334,MC Marcinho,person,1993,Brazil,Q117745223|Q1931130|Q10286515,MC Marcinho at Os Suburbanos in 2019.jpg,Humor Multishow,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q10325378,Marconi Notaro,person,,Brazil,Q10387147,,,,
Q103258,Neelix,person,1995,Germany,Q2385862,Neelix (DJ) - 01 Jun 2007.jpg,Wiska Bodo,CC BY 2.5,https://creativecommons.org/licenses/by/2.5
Q10327219,Mastruz com Leite,group,1990,Brazil,Q10283582,Mastruz com Leite em Caetité Bahia 2001.jpg,André Koehne,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q10329004,Mestre Ambrósio,group,,Brazil,Q1759189,,,,
