wikidata_id,file,author,license,license_url,status
Q100276699,Maverick City music.jpg,Artistrelationstribl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1003115,Vegoose06 builttospill2 lg.jpg,Joshrhinehart,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q100978614,Glaiveiwillfollowyouintothedark.jpg,Ryannwiki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1010243,Buraka Som Sistema.jpg,Libertinus,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q101505,Deep Purple in 2004.jpg,,,,no credit
Q1017857,Butch Morris and Conduction.jpg,"Jon Hurd from Boulder, Colorado, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1018174,Butthole Surfers.jpg,Viva Nola,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1022071,Frank Nagai.jpg,Heibonsha Publishing company (平凡社) © 1957,Public domain,,ok
Q1024747,Richard H Kirk DJ at Music For Real Airports Project 2010-04-24.jpg,Flickr user http://underclassrising.net/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q102616,Isolee1.jpg,,,,no credit
Q1026810,Paul Revere and the Raiders 1967.JPG,"Perenchio Artists, Inc. Los Angeles. (management)",Public domain,,ok
Q1027165,Three 6 Mafia.jpg,Jay West (Flickr profile and Jay West photography.com),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q10271783,Elevation Worship.jpg,Minnie Bannister,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q10280322,FaustoChapito.jpg,"Filipe Saraiva from Lisboa, Portugal",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q10284562,"Francisco Alves, sem data.tif",Unknown,Public domain,,ok
Q1028565,Camera Obscura live 20050413.jpg,,,,no credit
Q10289428,Gian e Giovani.jpg,"*Savaman* from Sao Paulo City / Ipiranga, Brasil",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1029506,"20170512, Camilo Sesto.jpg",Ministerio Secretaría General de Gobierno,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q10306713,Jerry Adriani.jpg,Mauriciobotti,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q10306910,Jill Tracy backstage2.jpg,Jill Tracy,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q10308035,JeMperfil.jpg,Fellipe Erick,Public domain,,ok
Q10311963,José Daniel Camillo.jpg,Sérgio (Savaman) Savarese,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1031338,Earthless.jpg,Greg Neate,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q10316110,"Lamartine Babo, 1956.tif",Unknown,Public domain,,ok
Q10317842,Liadeitamaraca minc flickr.jpg,"Janine Moraes, Ministério da Cultura (Brasil)",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q10320631,Luiz ayrao remix tvbrasil.jpg,"Mídia promocional do programa Samba na Gamboa (TV Brasil), remix de Praxides",CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en,ok
Q10322333,MC Guime Performing Live in Sao Paulo.JPG,Tico Fernandes,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q10322334,MC Marcinho at Os Suburbanos in 2019.jpg,Humor Multishow,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q103258,Neelix (DJ) - 01 Jun 2007.jpg,Wiska Bodo,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,ok
Q10327219,Mastruz com Leite em Caetité Bahia 2001.jpg,André Koehne,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q10329038,Mestre Verequete.jpg,Unknown author,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q10329042,Mestre vieira 2011.jpg,Gustavo Dreher,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q10330035,Milionario e jose rico.jpg,Zubreski,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q10330096,Miltinho (1969).tif,Unknown,Public domain,,ok
Q10333178,Fred04 tvbrasil.jpg,"Mídia promocional do programa Diverso, da TV Brasil.",CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en,ok
Q10335997,Neguinho da Beija-Flor 2014 (bf55).jpg,"Sebástian Freire from Rio de Janeiro, Brasil",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q10340215,Odair José.jpg,TV Brasil,CC BY 3.0 br,https://creativecommons.org/licenses/by/3.0/br/deed.en,ok
