genre_id,genre,artists
Q9778,electronic music,Aphex Twin | Daft Punk | Giorgio Moroder | Jean-Michel Jarre | Karlheinz Stockhausen | Kraftwerk | Tangerine Dream | The Chemical Brothers
Q863539,binaural beats,
Q111387914,moogsploitation,Dick Hyman | Hot Butter | Perrey and Kingsley
Q193207,ambient music,Aphex Twin | Brian Eno | Global Communication | Harold Budd | Hiroshi Yoshimura | Stars of the Lid | The Orb | William Basinski
Q213121,new age music,Andreas Vollenweider | Enya | George Winston | Kitaro | Paul Winter | Steven Halpern | Vangelis | Yanni
Q613874,neoclassical new-age music,
Q622688,Andean new age music,
Q98528207,Celtic new age,Clannad | Enya | Loreena McKennitt | Secret Garden
Q112593424,Native American new age music,Mary Youngblood | R. Carlos Nakai
Q16625659,space ambient,Jonn Serrie | Michael Stearns | Steve Roach
Q98528139,tribal ambient,O Yuki Conjugate | Robert Rich | Steve Roach | Vidna Obmana
Q756956,dark ambient,Atrium Carceri | Coil | Deutsch Nepal | Lustmord | Raison d'être
Q48971892,dungeon synth,Burzum | Depressive Silence | Erang | Fief | Mortiis | Old Tower
Q112118786,winter synth,Vinterriket
Q112118783,comfy synth,Hole Dweller
Q140630035,dungeon chip,
Q140369600,keller synth,
Q106642137,black ambient,
Q12671486,ritual ambient,Aghast | Inade
Q113447222,ambient americana,Chuck Johnson | SUSS | William Tyler
Q112159506,kankyō ongaku,Haruomi Hosono | Hiroshi Yoshimura | Midori Takada | Satoshi Ashikawa | Takashi Kokubo | Yoshio Ojima
Q79784514,progressive electronic music,Ashra | Cluster | Isao Tomita | Jean-Michel Jarre | Klaus Schulze | Kraftwerk | Tangerine Dream | Vangelis
Q530750,Berlin School of electronic music,Ash Ra Tempel | Klaus Schulze | Michael Hoenig | Redshift | Steve Roach | Tangerine Dream
Q851213,electronic dance music,Avicii | Daft Punk | David Guetta | Deadmau5 | Frankie Knuckles | Skrillex | The Chemical Brothers | The Prodigy
Q217597,electro,Afrika Bambaataa | Arabian Prince | Cybotron | Drexciya | Egyptian Lover | Mantronix | Newcleus | World Class Wreckin' Cru
Q4049849,spacesynth,Cyber People | Hypnosis | Koto | Laserdance | Proxyon
Q108297232,doskpop,
Q372103,electronic body music,Deutsch Amerikanische Freundschaft | Die Krupps | Front 242 | Front Line Assembly | Liaisons Dangereuses | Nitzer Ebb | Skinny Puppy
Q1890098,new beat,A Split-Second | Code 61 | Confetti's | Lords of Acid
Q106577108,hard beat,
Q828243,futurepop,Apoptygma Berzerk | Assemblage 23 | Covenant | Icon of Coil | Neuroticfish | Rotersand | Seabound | VNV Nation
Q2693142,techno body music,
Q655514,freestyle music,Company B | Debbie Deb | Exposé | Lisa Lisa and Cult Jam | Shannon | Stevie B | Sweet Sensation | TKA
Q20502,house music,Daft Punk | Frankie Knuckles | Kerri Chandler | Larry Heard | Marshall Jefferson | Masters at Work | Phuture | Todd Terry
Q1071961,Chicago house,"DJ Pierre | Farley Jackmaster Funk | Frankie Knuckles | Jesse Saunders | Larry Heard | Marshall Jefferson | Ron Hardy | Steve ""Silk"" Hurley"
Q928825,garage house,Adeva | Blaze | Jomanda | Kerri Chandler | Larry Levan | Masters at Work | Ten City | Tony Humphries
Q97277483,New Jersey sound,Adeva | Blaze | Jomanda | Kerri Chandler | Tony Humphries
Q874038,deep house,Chez Damier | Frankie Knuckles | Joe Smooth | Kerri Chandler | Larry Heard | Moodymann | Ron Trent | Theo Parrish
Q108555812,lo-fi house,Baltra | DJ Boring | DJ Seinfeld | Mall Grab | Ross From Friends
Q341364,acid house,808 State | A Guy Called Gerald | Adonis | Armando | Bam Bam | Phuture | Sleezy D | Tyree Cooper
Q116875230,gospel house,Blaze | Joe Smooth | Kim English | Ten City
Q3056538,Latin house,Masters at Work
Q2465085,ambient house,Global Communication | Mixmaster Morris | Sueño Latino | System 7 | The Future Sound of London | The KLF | The Orb
Q4852979,Baltimore club,Blaqstarr | DJ Class | KW Griff | Rod Lee | Scottie B
Q3032212,diva house,Black Box | CeCe Peniston | Crystal Waters | Kristine W | Loleatta Holloway | Martha Wash | Robin S. | Ultra Naté
Q5655695,hardbag,
Q30917612,Eurohouse,49ers | Black Box | Cappella | Technotronic
Q601235,hip house,Doug Lazy | Fast Eddie | Jungle Brothers | Kool Rock Steady | The Beatmasters | Tyree Cooper
Q2702280,Italo house,49ers | Black Box | Mixmaster | Starlight | Sueño Latino
Q202925,tribal house,Danny Tenaglia | Junior Vasquez | Peter Rauhofer
Q111678759,guaracha,
Q106522098,ballroom,Kevin Aviance | MikeQ | Vjuan Allure
Q915152,progressive house,Deadmau5 | Eric Prydz | Hernán Cattáneo | John Digweed | Leftfield | Sasha | Spooky
Q140637712,epic house,
Q109538574,vinahouse,
Q2748817,ghetto house,DJ Deeon | DJ Funk | DJ Milton | DJ Slugo | Paul Johnson
Q1521688,ghettotech,DJ Assault | DJ Funk | DJ Godfather | Disco D
Q24885387,juke,DJ Clent | DJ Nate | DJ Rashad | DJ Spinn | Jlin | RP Boo | Traxman
Q1585015,hard house,Anne Savage | BK | Lisa Lashes | Paul Glazby | Tidy Boys | Tony De Vit
Q106522190,scouse house,
Q28458027,hardbass,Hard Bass School | XS Project
Q949369,funky house,Bob Sinclar | Full Intention | Roger Sanchez | Stonebridge
Q598593,tech house,Eddie Richards | Fisher | Green Velvet | Hot Since 82 | Jamie Jones | Mr. C | Nathan Coles | Terry Francis
Q112829330,deep tech,
Q122474257,rominimal,Cezar | Petre Inspirescu | Priku | Raresh | Rhadoo
Q1455292,French house,Alan Braxe | Bob Sinclar | Cassius | DJ Falcon | Daft Punk | Modjo | Stardust | Étienne de Crécy
