wikidata_id,name,kind,start,country,image,sitelinks
Q371,!!!,group,1996,United States,Chk Chk Chk - Heaven 14th October 2022 (1).jpg,29
Q8349,"""Weird Al"" Yankovic",person,1976,United States,AlYankovicByKristineSlipson.jpg,93
Q30196568,$uicideboy$,group,2014,United States,$uicideboy$.png,19
Q67556784,100 gecs,group,2015,United States,"100 Gecs @ 930 Club, 10-29-2021.jpg",14
Q169145,10cc,group,1972,United Kingdom,10cc2010.jpg,33
Q197230,16 Horsepower,group,1992,United States,Edwardsgit.jpg,13
Q905073,175R,group,1998,,,5
Q51120186,1788-L,person,2018,,,2
Q2810568,187 Lockdown,group,,United Kingdom,,3
Q222856,2 Live Crew,group,1982,United States,,17
Q222900,2 Unlimited,group,1991,Netherlands,2U Live Photo NEWCUT.jpg,34
Q25095399,21 Savage,person,2013,United Kingdom,21 Savage 2018.jpg,42
Q85014708,22Gz,person,2015,United States,22gz 2017 mugshot.webp,6
Q924413,24-7 Spyz,group,1986,United States,,4
Q222021,2Baba,person,1994,Nigeria,2face Idibia.png,22
Q222918,2nd Chapter of Acts,group,1973,United States,2nd-Chapter-of-Acts.jpg,6
Q175097,3 Doors Down,group,1996,United States,3 Doors Down on Walmart Soundcheck (5913144312).jpg,43
Q1970451,3 Steps Ahead,person,1994,Kingdom of the Netherlands,,9
Q222978,3+2,group,2006,Belarus,3+2 belarus band.jpg,33
Q224565,311,group,1988,United States,311 Austin.jpg,19
Q4636221,3Ball MTY,group,2009,Monterrey,3BALLMTY in 2014.jpg,4
Q229496,3OH!3,group,2004,United States,3OH!3 at Bamboozle Left 2008.jpg,27
Q95694810,42 Dugg,person,2017,United States,42 Dugg.png,9
Q2262336,45 Grave,group,1979,United States,Dinah Cancer 45 Grave Blue Cafe Long Beach 4.jpg,9
Q238051,49ers,group,1988,Italy,,7
Q924606,4hero,group,1989,United Kingdom,Marc Mac from 4hero.jpg,9
Q6060,50 Cent,person,1996,United States,"Curtis ""50 Cent"" Jackson visits Barksdale AFB (5) (cropped).jpg",111
Q27886640,6lack,person,2011,United States,6LACK.jpg,22
Q270055,7 Year Bitch,group,1990,United States,7ybpromophoto.jpg,12
Q271283,808 State,group,1987,United Kingdom,Graham Massey 2 - MTFCentral Hack Camp (2015-09-19 21.34.45 by Music Tech Fest).jpg,21
Q1360723,8Ball & MJG,group,1991,United States,,13
Q107016906,95 South,group,,,,2
Q596117,:wumpscut:,group,1991,Germany,,14
Q1887722,? and the Mysterians,group,1962,United States,,14
Q300348,A Certain Ratio,group,1977,United Kingdom,ACertainRatio2023.jpg,14
Q300386,A Day to Remember,group,2003,United States,Peace and Love A Day to Remember 1.JPG,25
Q300406,A Filetta,group,1978,France,Sidi Larbi Cherkaoui et A Filetta.JPG,12
Q300430,A Guy Called Gerald,person,1967,United Kingdom,"A Guy Called Gerald (2014, cropped).jpg",14
Q4657762,A Lighter Shade of Brown,group,1990,United States,,2
Q4657951,A Lot Like Birds,group,2009,United States,,3
Q300558,A Skylit Drive,group,2005,United States,Askylitdrivelive.JPG,9
Q1873785,A Split-Second,group,1986,Belgium,A Split Second.jpg,5
