genre,year
http://www.wikidata.org/entity/Q542971,1991
http://www.wikidata.org/entity/Q546206,1985
http://www.wikidata.org/entity/Q546264,1963
http://www.wikidata.org/entity/Q546359,1930
http://www.wikidata.org/entity/Q547137,1970
http://www.wikidata.org/entity/Q556959,1972
http://www.wikidata.org/entity/Q572901,1964
http://www.wikidata.org/entity/Q573484,1966
http://www.wikidata.org/entity/Q574651,1985
http://www.wikidata.org/entity/Q577080,1974
http://www.wikidata.org/entity/Q584752,1988
http://www.wikidata.org/entity/Q586110,1900
http://www.wikidata.org/entity/Q590662,1993
http://www.wikidata.org/entity/Q592060,1966
http://www.wikidata.org/entity/Q592330,1982
http://www.wikidata.org/entity/Q597240,1979
http://www.wikidata.org/entity/Q598593,1993
http://www.wikidata.org/entity/Q598929,1978
http://www.wikidata.org/entity/Q601235,1988
http://www.wikidata.org/entity/Q602561,1994
http://www.wikidata.org/entity/Q602646,1988
http://www.wikidata.org/entity/Q606089,1920
http://www.wikidata.org/entity/Q606393,1978
http://www.wikidata.org/entity/Q612024,1945
http://www.wikidata.org/entity/Q613408,1965
http://www.wikidata.org/entity/Q613707,1908
http://www.wikidata.org/entity/Q613874,1972
http://www.wikidata.org/entity/Q616679,1988
http://www.wikidata.org/entity/Q617240,1988
http://www.wikidata.org/entity/Q617338,1930
http://www.wikidata.org/entity/Q622688,1980
http://www.wikidata.org/entity/Q622871,1992
http://www.wikidata.org/entity/Q623904,1000
http://www.wikidata.org/entity/Q627906,1997
http://www.wikidata.org/entity/Q630689,1995
http://www.wikidata.org/entity/Q640097,1945
http://www.wikidata.org/entity/Q641318,1972
http://www.wikidata.org/entity/Q641357,1985
http://www.wikidata.org/entity/Q642983,1995
http://www.wikidata.org/entity/Q646165,2001
http://www.wikidata.org/entity/Q646679,1976
http://www.wikidata.org/entity/Q649634,1930
http://www.wikidata.org/entity/Q649823,1927
http://www.wikidata.org/entity/Q650316,1958
http://www.wikidata.org/entity/Q655514,1982
http://www.wikidata.org/entity/Q659599,1979
http://www.wikidata.org/entity/Q660984,1992
http://www.wikidata.org/entity/Q663519,1987
http://www.wikidata.org/entity/Q178145,1990
http://www.wikidata.org/entity/Q180268,1600
http://www.wikidata.org/entity/Q180853,1500
http://www.wikidata.org/entity/Q181010,1955
http://www.wikidata.org/entity/Q181861,1977
http://www.wikidata.org/entity/Q181897,1920
http://www.wikidata.org/entity/Q183504,1981
http://www.wikidata.org/entity/Q183862,1988
http://www.wikidata.org/entity/Q185162,1957
http://www.wikidata.org/entity/Q185652,1890
http://www.wikidata.org/entity/Q185676,1900
http://www.wikidata.org/entity/Q186170,1980
http://www.wikidata.org/entity/Q186472,1964
http://www.wikidata.org/entity/Q187760,1976
http://www.wikidata.org/entity/Q188285,1200
http://www.wikidata.org/entity/Q188450,1978
http://www.wikidata.org/entity/Q188450,1998
http://www.wikidata.org/entity/Q188534,1985
http://www.wikidata.org/entity/Q188539,1979
http://www.wikidata.org/entity/Q188994,1992
http://www.wikidata.org/entity/Q189045,1991
http://www.wikidata.org/entity/Q193207,1967
http://www.wikidata.org/entity/Q193355,1960
http://www.wikidata.org/entity/Q196999,1970
http://www.wikidata.org/entity/Q201405,1400
http://www.wikidata.org/entity/Q202919,1850
http://www.wikidata.org/entity/Q202925,1988
http://www.wikidata.org/entity/Q202930,1990
http://www.wikidata.org/entity/Q203720,1950
http://www.wikidata.org/entity/Q203775,1930
http://www.wikidata.org/entity/Q205560,1992
http://www.wikidata.org/entity/Q206159,1965
http://www.wikidata.org/entity/Q208239,1920
http://www.wikidata.org/entity/Q208341,1780
http://www.wikidata.org/entity/Q208494,1988
http://www.wikidata.org/entity/Q209137,1995
http://www.wikidata.org/entity/Q209498,1979
http://www.wikidata.org/entity/Q210216,1681
http://www.wikidata.org/entity/Q210854,1310
http://www.wikidata.org/entity/Q211573,1960
http://www.wikidata.org/entity/Q211723,1978
http://www.wikidata.org/entity/Q211756,1980
http://www.wikidata.org/entity/Q211781,1960
http://www.wikidata.org/entity/Q212024,1790
http://www.wikidata.org/entity/Q212688,1960
http://www.wikidata.org/entity/Q212952,1900
http://www.wikidata.org/entity/Q213121,1960
http://www.wikidata.org/entity/Q213149,1980
http://www.wikidata.org/entity/Q213572,1990
http://www.wikidata.org/entity/Q213608,1980
http://www.wikidata.org/entity/Q213665,1990
http://www.wikidata.org/entity/Q213714,1940
http://www.wikidata.org/entity/Q216860,1810
http://www.wikidata.org/entity/Q216961,1988
http://www.wikidata.org/entity/Q217191,1960
http://www.wikidata.org/entity/Q217467,1968
http://www.wikidata.org/entity/Q217597,1980
http://www.wikidata.org/entity/Q220528,1850
http://www.wikidata.org/entity/Q220830,1957
http://www.wikidata.org/entity/Q221686,1923
http://www.wikidata.org/entity/Q221772,1987
http://www.wikidata.org/entity/Q223840,1998
http://www.wikidata.org/entity/Q1344,1600
http://www.wikidata.org/entity/Q2743,1560
http://www.wikidata.org/entity/Q3071,1975
http://www.wikidata.org/entity/Q4797,1900
http://www.wikidata.org/entity/Q6010,1970
http://www.wikidata.org/entity/Q7749,1949
http://www.wikidata.org/entity/Q8341,1917
http://www.wikidata.org/entity/Q8361,1600
http://www.wikidata.org/entity/Q9730,500
http://www.wikidata.org/entity/Q9734,1600
http://www.wikidata.org/entity/Q9759,1890
http://www.wikidata.org/entity/Q9764,1774
http://www.wikidata.org/entity/Q9778,1920
http://www.wikidata.org/entity/Q9794,1961
http://www.wikidata.org/entity/Q10922,1978
http://www.wikidata.org/entity/Q10926,1984
http://www.wikidata.org/entity/Q11363,1995
http://www.wikidata.org/entity/Q11365,1985
http://www.wikidata.org/entity/Q11366,1978
http://www.wikidata.org/entity/Q11399,1948
http://www.wikidata.org/entity/Q11401,1973
http://www.wikidata.org/entity/Q11403,1914
http://www.wikidata.org/entity/Q17723,1730
http://www.wikidata.org/entity/Q20378,1985
http://www.wikidata.org/entity/Q20474,2001
http://www.wikidata.org/entity/Q20502,1982
http://www.wikidata.org/entity/Q20903,2007
