wikidata_id,name,action,parent,group,reason
Q193207,ambient music,attach,electronic music,AMBIENT & CHILL-OUT,Genre électronique ; ramène space ambient et tribal ambient.
Q15733887,vaporwave,attach,electronic music,SYNTH & RETRO,Microgenre électronique rétro.
Q138081554,slowed & reverb,attach,vaporwave,,Procédé issu du vaporwave.
Q48971892,dungeon synth,attach,dark ambient,,Variante du dark ambient ; ramène dungeon chip.
Q213121,new age music,attach,ambient music,,Proche de l'ambient ; le rattacher à Pop aurait tout débordé.
Q85765918,hauntology,attach,electronic music,EXPERIMENTAL & DIGITAL,"Courant électronique (Burial, Ghost Box)."
Q7410145,sampledelia,attach,plunderphonics,,Musique faite d'échantillons.
Q133687529,toypop,attach,pop music,ELECTRONIC POP,Pop électronique enfantine.
Q135493769,psychploitation,attach,psychedelic rock,,"Seul enfant de « psychedelic music », doublon de psychedelic rock."
Q131425,visual kei,attach,rock music,SCENES AROUND THE WORLD > ASIA,Mouvement rock japonais.
Q7139128,parlour music,attach,jazz,ORIGINS & SWING,"Ragtime, stride, cakewalk : les racines du jazz."
Q221772,acid jazz,attach,jazz,FUSION & FUNK,Seul genre de « club/dance music » hors funk brésilien.
Q848399,easy listening,attach,jazz,MOOD & SCREEN,"Lounge et exotica, voisins du jazz d'ambiance."
Q26906566,Beat poetry,attach,jazz,MOOD & SCREEN,"Poésie lue sur du jazz, à côté de jazz poetry."
Q2064394,worldbeat,attach,pop music,POP CROSSOVERS,Pop mêlée de musiques du monde.
Q56342556,classical crossover,attach,pop music,POP CROSSOVERS,Pop lyrique.
Q1062400,chanson,attach,pop music,EUROPEAN POP > WESTERN EUROPEAN POP,Chanson française.
Q2138639,Levenslied,attach,pop music,EUROPEAN POP > WESTERN EUROPEAN POP,Chanson populaire néerlandaise.
Q3025242,pimba,attach,pop music,EUROPEAN POP > WESTERN EUROPEAN POP,Chanson populaire portugaise.
Q8059887,Yu-Mex,attach,pop music,EUROPEAN POP > BALKAN & EASTERN EUROPEAN POP,Pop yougoslave d'inspiration mexicaine.
Q53806314,éntekhno,attach,pop music,EUROPEAN POP > BALKAN & EASTERN EUROPEAN POP,Chanson savante grecque.
Q1762761,Finnish tango,attach,pop music,EUROPEAN POP > NORDIC POP,Tango populaire finlandais.
Q107539904,estrada music,attach,pop music,POP AROUND THE WORLD > RUSSIA & CENTRAL ASIA,Variété soviétique.
Q1891685,Russian chanson,attach,pop music,POP AROUND THE WORLD > RUSSIA & CENTRAL ASIA,Chanson populaire russe.
Q4400837,Russian romance,attach,pop music,POP AROUND THE WORLD > RUSSIA & CENTRAL ASIA,Romance russe.
Q28055053,Q-pop,regroup,,POP AROUND THE WORLD > RUSSIA & CENTRAL ASIA,"Déjà dans l'atlas : pop kazakhe, sortie de « East Asian pop »."
Q131578,J-pop,attach,pop music,EAST ASIAN POP > JAPAN,Ramène J-euro.
Q873478,enka,attach,pop music,EAST ASIAN POP > JAPAN,Ballade populaire japonaise.
Q7385628,Ryūkōka,attach,pop music,EAST ASIAN POP > JAPAN,Premières chansons populaires japonaises.
Q1418683,kayōkyoku,regroup,,EAST ASIAN POP > JAPAN,Déjà dans l'atlas.
Q11307326,city pop,regroup,,EAST ASIAN POP > JAPAN,Déjà dans l'atlas.
Q1207347,Shibuya-kei,regroup,,EAST ASIAN POP > JAPAN,Déjà dans l'atlas.
Q213665,K-pop,attach,pop music,EAST ASIAN POP > KOREA,Pop coréenne.
Q485915,trot,attach,pop music,EAST ASIAN POP > KOREA,Chanson populaire coréenne.
Q55648025,Korean ballad,regroup,,EAST ASIAN POP > KOREA,Déjà dans l'atlas.
Q1192110,C-pop,attach,pop music,EAST ASIAN POP > CHINESE-LANGUAGE POP,Pop sinophone.
Q7496127,shidaiqu,attach,pop music,EAST ASIAN POP > CHINESE-LANGUAGE POP,Chanson de Shanghai des années folles.
Q853873,cantopop,regroup,,EAST ASIAN POP > CHINESE-LANGUAGE POP,Déjà dans l'atlas.
Q5398894,V-pop,regroup,,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > VIETNAM,"Déjà dans l'atlas : pop vietnamienne, sortie de « East Asian pop »."
Q7855391,Turkish pop,regroup,,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > TURKEY & IRAN,Déjà dans l'atlas.
Q7170257,Iranian pop,regroup,,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > TURKEY & IRAN,Déjà dans l'atlas.
Q623824,arabesque,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > TURKEY & IRAN,Pop turque orientalisante.
Q6016474,Fantezi,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > TURKEY & IRAN,Variante légère de l'arabesque turque.
Q3735422,Bandari music,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > TURKEY & IRAN,Musique de danse du golfe Persique.
Q135112773,mūsīqā lubnāniyya,regroup,,"POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE LEVANT, ISRAEL & THE GULF",Déjà dans l'atlas.
Q110555065,Orthodox pop,regroup,,"POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE LEVANT, ISRAEL & THE GULF",Déjà dans l'atlas.
Q2738544,Mizrahi music,attach,pop music,"POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE LEVANT, ISRAEL & THE GULF",Pop israélienne d'origine orientale.
Q7410295,samri,attach,pop music,"POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE LEVANT, ISRAEL & THE GULF",Chant populaire du Golfe.
Q2516031,sawt,attach,pop music,"POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE LEVANT, ISRAEL & THE GULF",Chant urbain du Koweït et de Bahreïn.
Q2610186,al jeel,regroup,,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > EGYPT,Déjà dans l'atlas.
Q16323732,shaabi,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > EGYPT,Chanson populaire égyptienne ; ramène mahraganat.
Q804596,baladi,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > EGYPT,Musique populaire égyptienne.
Q839029,raï,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE MAGHREB,Algérie.
Q2961766,Algerian chaabi,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE MAGHREB,Algérie.
Q2961759,Moroccan chaabi,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE MAGHREB,Maroc.
Q3328762,staifi music,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE MAGHREB,Algérie (Sétif).
Q3305039,malhun,attach,pop music,POP AROUND THE WORLD > MIDDLE EAST & NORTH AFRICA > THE MAGHREB,Poésie chantée du Maghreb.
Q3535998,Indian pop,regroup,,POP AROUND THE WORLD > SOUTH ASIAN POP,Déjà dans l'atlas.
Q2612458,rigsar,regroup,,POP AROUND THE WORLD > SOUTH ASIAN POP,Déjà dans l'atlas.
Q55642856,adhunik geet,attach,pop music,POP AROUND THE WORLD > SOUTH ASIAN POP,Chanson moderne népalaise.
Q2879826,baila,attach,pop music,POP AROUND THE WORLD > SOUTH ASIAN POP,Musique de danse du Sri Lanka.
Q15720097,bhavageete,attach,pop music,POP AROUND THE WORLD > SOUTH ASIAN POP,Poésie chantée du Karnataka.
Q5515214,gaana,attach,pop music,POP AROUND THE WORLD > SOUTH ASIAN POP,Chanson urbaine de Chennai.
Q281111,ghazal,attach,pop music,POP AROUND THE WORLD > SOUTH ASIAN POP,Chant poétique ourdou.
Q854844,bhangra,attach,pop music,POP AROUND THE WORLD > SOUTH ASIAN POP,Pop pendjabie ; ramène folkhop.
Q118640019,pop kreatif,regroup,,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Déjà dans l'atlas.
Q117745444,pop minang,regroup,,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Déjà dans l'atlas.
Q4372158,pop Sunda,regroup,,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Déjà dans l'atlas.
Q1159539,dangdut,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Ramène koplo.
Q1930107,kroncong,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Ramène langgam jawa et cilokaq.
Q3274667,campursari,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Java.
Q110230818,qasidah modern,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Pop islamique indonésienne.
Q11185609,Gambang kromong,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > INDONESIA & MALAYSIA,Musique populaire de Jakarta.
Q61127902,Vietnamese bolero,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > VIETNAM,Viêt Nam.
Q1499262,yellow music,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > VIETNAM,Viêt Nam.
Q7023411,nhạc đỏ,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > VIETNAM,Chanson révolutionnaire vietnamienne.
Q10801096,Purple music,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > VIETNAM,Viêt Nam.
Q3328764,Thai pop,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > MAINLAND SOUTHEAST ASIA,Thaïlande.
Q665286,luk thung,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > MAINLAND SOUTHEAST ASIA,Thaïlande.
Q6701559,luk krung,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > MAINLAND SOUTHEAST ASIA,Thaïlande.
Q1753803,mor lam,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > MAINLAND SOUTHEAST ASIA,Laos et Isan.
Q4925966,kantrum,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > MAINLAND SOUTHEAST ASIA,Khmers de Thaïlande.
Q7361460,rom kbach,regroup,,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > MAINLAND SOUTHEAST ASIA,Déjà dans l'atlas.
Q109050954,Burmese mono,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP > MAINLAND SOUTHEAST ASIA,Birmanie.
Q107565104,original Pilipino music,attach,pop music,POP AROUND THE WORLD > SOUTHEAST ASIAN POP,Philippines.
Q25099840,Afrobeats,regroup,,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,Déjà dans l'atlas.
Q963061,highlife,attach,pop music,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,Ghana.
Q5480212,palm-wine music,attach,pop music,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,"Sierra Leone et Liberia, ancêtre du highlife."
Q388296,Afrobeat,attach,pop music,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,Fela Kuti.
Q3509353,fuji music,attach,pop music,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,Nigeria (yoruba).
Q1715700,Jùjú music,attach,pop music,AFRICAN POP > WEST AFRICA > NIGERIA & GHANA,Nigeria (yoruba).
