wikidata_id,name,parent,group
Q16491869,Dominican dembow,Latin music,ACROSS LATIN AMERICA
Q5713112,avanzada,Latin music,ACROSS LATIN AMERICA
Q15830404,bolero,Latin music,ACROSS LATIN AMERICA
Q3278092,guarania,Latin music,ACROSS LATIN AMERICA
Q6050834,onda nueva,Latin music,ACROSS LATIN AMERICA
Q6138491,tamborera,Latin music,ACROSS LATIN AMERICA
Q115327281,tropicanibalismo,Latin music,ACROSS LATIN AMERICA
Q1574985,Vallenato,Latin music,COLOMBIA
Q1061165,champeta,Latin music,COLOMBIA
Q5794983,currulao,Latin music,COLOMBIA
Q7142141,pasillo,Latin music,COLOMBIA
Q3069904,porro,Latin music,COLOMBIA
Q40461,bachata,Latin music,DANCE & CARNIVAL
Q16986699,cha-cha-chá,Latin music,DANCE & CARNIVAL
Q125850367,cuplé,Latin music,DANCE & CARNIVAL
Q586110,forró,Latin music,DANCE & CARNIVAL
Q1455932,frevo,Latin music,DANCE & CARNIVAL
Q3889661,marchinha,Latin music,DANCE & CARNIVAL
Q1452181,murga,Latin music,DANCE & CARNIVAL
Q3419744,rara,Latin music,DANCE & CARNIVAL
Q208239,salsa,Latin music,DANCE & CARNIVAL
Q14390274,tango,Latin music,DANCE & CARNIVAL
Q107195014,Cuban charanga,Latin music,DANZÓN & BALLROOM
Q1165358,danzón,Latin music,DANZÓN & BALLROOM
Q835562,habanera,Latin music,DANZÓN & BALLROOM
Q1646666,mambo,Latin music,DANZÓN & BALLROOM
Q367751,pachanga,Latin music,DANZÓN & BALLROOM
Q18217098,New Mexico music,Latin music,MEXICO & CENTRAL AMERICA
Q961146,chilena,Latin music,MEXICO & CENTRAL AMERICA
Q113133172,merequetengue,Latin music,MEXICO & CENTRAL AMERICA
Q7309098,regional Mexican,Latin music,MEXICO & CENTRAL AMERICA
Q5690818,rock urbano mexicano,Latin music,MEXICO & CENTRAL AMERICA
Q6132088,son nica,Latin music,MEXICO & CENTRAL AMERICA
Q6169362,xuc,Latin music,MEXICO & CENTRAL AMERICA
Q111241124,bandinha,Latin music,MODERN BRAZILIAN POP
Q2464314,brega,Latin music,MODERN BRAZILIAN POP
Q533946,lambada,Latin music,MODERN BRAZILIAN POP
Q1759189,mangue bit,Latin music,MODERN BRAZILIAN POP
Q1958273,sertanejo,Latin music,MODERN BRAZILIAN POP
Q3554510,vanera,Latin music,MODERN BRAZILIAN POP
Q383530,afoxê,Latin music,NORTHEASTERN BRAZIL
Q1435485,axé,Latin music,NORTHEASTERN BRAZIL
Q2879962,baião,Latin music,NORTHEASTERN BRAZIL
Q1036183,carimbó,Latin music,NORTHEASTERN BRAZIL
Q502448,coco,Latin music,NORTHEASTERN BRAZIL
Q2936879,repente,Latin music,NORTHEASTERN BRAZIL
Q502808,xote,Latin music,NORTHEASTERN BRAZIL
Q388475,Cuban rumba,Latin music,RUMBA & AFRO-CUBAN
Q1125657,conga,Latin music,RUMBA & AFRO-CUBAN
Q23925185,pilón,Latin music,RUMBA & AFRO-CUBAN
Q21684437,rumba,Latin music,RUMBA & AFRO-CUBAN
Q976802,tumba francesa,Latin music,RUMBA & AFRO-CUBAN
Q486263,bossa nova,Latin music,SAMBA & BOSSA NOVA
Q1076539,choro,Latin music,SAMBA & BOSSA NOVA
Q430075,maxixe,Latin music,SAMBA & BOSSA NOVA
Q1046768,música popular brasileira,Latin music,SAMBA & BOSSA NOVA
Q11403,samba,Latin music,SAMBA & BOSSA NOVA
Q1062199,changüí,Latin music,SON & GUARACHA
Q28219760,descarga,Latin music,SON & GUARACHA
Q787663,guajira,Latin music,SON & GUARACHA
Q1552806,guaracha,Latin music,SON & GUARACHA
Q3410882,punto guajiro,Latin music,SON & GUARACHA
Q4428744,son cubano,Latin music,SON & GUARACHA
Q1756680,songo music,Latin music,SON & GUARACHA
Q2420447,trova,Latin music,SON & GUARACHA
Q2707994,Catalan rumba,Latin music,SPAIN
Q489913,bolero,Latin music,SPAIN
Q9764,flamenco,Latin music,SPAIN
Q5716336,baguala,Latin music,THE ANDES
Q123253590,caporal,Latin music,THE ANDES
Q140129045,coplas cajamarquinas,Latin music,THE ANDES
Q5654316,harawi,Latin music,THE ANDES
Q3141879,huaylarsh,Latin music,THE ANDES
Q1640587,morenada,Latin music,THE ANDES
Q6950428,música criolla,Latin music,THE ANDES
Q140369829,pandilla,Latin music,THE ANDES
Q814402,biguine,Latin music,THE ISLANDS
Q2278063,bomba,Latin music,THE ISLANDS
Q3191747,cadence rampa,Latin music,THE ISLANDS
Q723418,cumbia,Latin music,THE ISLANDS
Q2726026,konpa,Latin music,THE ISLANDS
Q282131,merengue,Latin music,THE ISLANDS
Q2715398,plena,Latin music,THE ISLANDS
Q7295057,rasin,Latin music,THE ISLANDS
Q2406900,twoubadou,Latin music,THE ISLANDS
Q7134728,Paraguayan polka,Latin music,THE SOUTHERN CONE
Q155119,cuarteto,Latin music,THE SOUTHERN CONE
Q124630346,guaracha santiagueña,Latin music,THE SOUTHERN CONE
Q120233553,jazz guachaca,Latin music,THE SOUTHERN CONE
Q117193811,mambo chileno,Latin music,THE SOUTHERN CONE
Q124080517,música típica chilena,Latin music,THE SOUTHERN CONE
Q116875252,Baroque suite,classical music,CHAMBER & ORCHESTRAL FORMS
Q207683,canzona,classical music,CHAMBER & ORCHESTRAL FORMS
Q202287,overture,classical music,CHAMBER & ORCHESTRAL FORMS
Q131269,sonata,classical music,CHAMBER & ORCHESTRAL FORMS
Q11487510,string quartet,classical music,CHAMBER & ORCHESTRAL FORMS
Q3328774,symphonic music,classical music,CHAMBER & ORCHESTRAL FORMS
Q214981,theme and variation,classical music,CHAMBER & ORCHESTRAL FORMS
Q8361,Baroque music,classical music,HISTORICAL PERIODS
Q17723,Classical period,classical music,HISTORICAL PERIODS
Q2956246,Mozarabic chant,classical music,HISTORICAL PERIODS
Q201405,Renaissance music,classical music,HISTORICAL PERIODS
Q207591,Romantic music,classical music,HISTORICAL PERIODS
Q163775,medieval music,classical music,HISTORICAL PERIODS
Q65937946,modern classical music,classical music,HISTORICAL PERIODS
Q65943744,post-classical,classical music,HISTORICAL PERIODS
Q788460,bagatelle,classical music,KEYBOARD FORMS
Q876812,capriccio,classical music,KEYBOARD FORMS
Q1063010,character piece,classical music,KEYBOARD FORMS
Q836571,fantasia,classical music,KEYBOARD FORMS
Q181014,fugue,classical music,KEYBOARD FORMS
Q852027,impromptu,classical music,KEYBOARD FORMS
