wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,group,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links,featured,family_shape,family_hue
Q9778,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music,,,0,26,391,dial,1920,,,,,root,,108,1,circle,295
Q863539,d89f1b3c-0e50-474e-8a76-443199dbc484,binaural beats,Q9778,electronic music,1,0,0,ring,1839,,AMBIENT & CHILL-OUT,,,single,electronic music,17,,,
Q111387914,faf91afb-d07f-46dc-bf38-45200c22201f,moogsploitation,Q9778,electronic music,1,0,0,ring,1966,,SYNTH & RETRO,,,single,electronic music,0,,,
Q193207,608b0471-7531-4854-a348-e698c69cb699,ambient music,Q9778,electronic music,1,6,17,ring,1967,Japan · United Kingdom,AMBIENT & CHILL-OUT,,,attach,popular music,54,,,
Q213121,6c76d9ec-0924-4fc9-bb22-91a695ca09d6,new age music,Q193207,ambient music,2,4,4,ring,1960,Europe · United States,,,,attach,popular music,47,,,
Q613874,27f6e0f8-8d02-4f15-ac9f-45c5798978b7,neoclassical new-age music,Q213121,new age music,3,0,0,ring,1972,,,,,single,new age music,2,,,
Q622688,ba1b6ce0-b4e0-4c89-b472-37c969e9cdfb,Andean new age music,Q213121,new age music,3,0,0,ring,1980,,,,,single,new age music,1,,,
Q98528207,fff215c1-bded-4749-9d44-d29bf44c6be4,Celtic new age,Q213121,new age music,3,0,0,ring,,,,,,auto,Celtic music | new age music,0,,,
Q112593424,67623f54-1090-41d7-836e-3f70a487bf47,Native American new age music,Q213121,new age music,3,0,0,ring,,,,,,single,new age music,0,,,
Q16625659,cb058995-96b0-45ed-a3db-2f066bfe948d,space ambient,Q193207,ambient music,2,0,0,ring,1971,,,,,auto,ambient music | space music,0,,,
Q98528139,94bd08a1-367d-49ad-a9f5-6db1c08f196a,tribal ambient,Q193207,ambient music,2,0,0,ring,1978,,,,,auto,ambient music | tribal music,0,,,
Q756956,01ecf8e4-7f7a-4145-ae97-504d3109633d,dark ambient,Q193207,ambient music,2,3,7,ring,1988,Europe · United States,,,,auto,ambient music | post-industrial music,29,,,
Q48971892,c89a76aa-2149-499e-946b-8299aa2f4ab3,dungeon synth,Q756956,dark ambient,3,4,4,ring,1991,,,,,attach,popular music,12,,,
Q112118786,f8344ab4-cdd1-4acc-829b-8be207ea54d0,winter synth,Q48971892,dungeon synth,4,0,0,ring,1998,,,,,single,dungeon synth,0,,,
Q112118783,0b8b564c-fb7f-4f6d-b40f-e432b2a1ae02,comfy synth,Q48971892,dungeon synth,4,0,0,ring,2018,,,,,single,dungeon synth,0,,,
Q140630035,37369d59-6ffd-4c9d-be9f-913cad71f740,dungeon chip,Q48971892,dungeon synth,4,0,0,ring,,,,,,auto,bit music | dungeon synth,0,,,
Q140369600,dc7b3df8-0f8c-4bcd-9daa-8eca53c3e1f9,keller synth,Q48971892,dungeon synth,4,0,0,ring,,,,,,single,dungeon synth,0,,,
Q106642137,fa969459-94a6-4c47-9770-c8517b180645,black ambient,Q756956,dark ambient,3,0,0,ring,,,,,,single,dark ambient,2,,,
Q12671486,1deaf1c4-d01b-4a3c-adc4-ff45cf09264c,ritual ambient,Q756956,dark ambient,3,0,0,ring,,,,,,single,dark ambient,2,,,
Q113447222,8a7503ae-543b-4be3-b8dd-c031bc8548a0,ambient americana,Q193207,ambient music,2,0,0,ring,,,,,,single,ambient music | music of North America,0,,,
Q112159506,d5541aec-ffc2-4bc5-834d-d72f0718996a,kankyō ongaku,Q193207,ambient music,2,0,0,ring,,,,,,single,environmental music,0,,,
Q79784514,2d069613-cd1b-4ce8-ad90-d0925e4ff9c9,progressive electronic music,Q9778,electronic music,1,1,1,ring,1969,,SYNTH & RETRO,,,auto,progressive music | synth music,1,,,
Q530750,ae93e318-c563-4bb7-9a48-eb2f4e4df96f,Berlin School of electronic music,Q79784514,progressive electronic music,2,0,0,ring,1974,Germany,,,,single,progressive electronic music,12,,,
Q851213,3976e9ba-16d0-461d-b732-99408a0374ba,electronic dance music,Q9778,electronic music,1,74,312,group,1977,,CLUB & DANCEFLOOR,,,auto,club/dance music | electronic music,54,,,
Q217597,60f00d05-df4d-496e-8f5a-c45c03a56ad4,electro,Q851213,electronic dance music,2,0,0,ring,1980,,HOUSE & TECHNO,,,single,electronic dance music,35,,,
Q4049849,4e45ed10-6896-4911-8b5d-366f38af0f40,spacesynth,Q851213,electronic dance music,2,1,1,ring,1981,,RETRO & EURODANCE > SYNTH REVIVAL,,,single,electronic dance music,4,,,
Q108297232,d9ca03bf-e5b8-47f2-a0b2-d9951ba34559,doskpop,Q4049849,spacesynth,3,0,0,ring,1995,,,,,auto,spacesynth | tracker music,0,,,
Q372103,f3818817-6235-48d5-82f7-b223eb0261d9,electronic body music,Q851213,electronic dance music,2,3,4,ring,1982,Belgium · Canada · Germany · United Kingdom,RETRO & EURODANCE > ELECTRO & BODY MUSIC,,,auto,electronic dance music | post-industrial music,33,,,
Q1890098,637d81ef-90b2-4385-9726-5ecf47daf4e4,new beat,Q372103,electronic body music,3,1,1,ring,1987,Belgium,,,,single,electronic body music,16,,,
Q106577108,2d663a70-d823-4d21-a755-2c91cb039eea,hard beat,Q1890098,new beat,4,0,0,ring,1989,Belgium,,,,single,new beat,1,,,
Q828243,6df6e38b-2a6f-4990-94dc-ea48eba4f8ad,futurepop,Q372103,electronic body music,3,0,0,ring,1993,,,,,auto,electronic body music | synth-pop,22,,,
Q2693142,72b2e254-8ec9-4244-b1be-911a683ae0ff,techno body music,Q372103,electronic body music,3,0,0,ring,,,,,,auto,electronic body music | techno,2,,,
Q655514,c37edb66-6712-46e2-b5fd-c4d386cf844f,freestyle music,Q851213,electronic dance music,2,0,0,ring,1982,United States,RETRO & EURODANCE > EURODANCE,,,auto,dance-pop | electronic dance music | electronic pop,14,,,
