wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links
Q9778,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music,,,0,39,405,dial,1920,,,,root,,108
Q863539,d89f1b3c-0e50-474e-8a76-443199dbc484,binaural beats,Q9778,electronic music,1,0,0,ring,1839,,,,single,electronic music,17
Q1326777,463066ef-ac54-4dae-9c83-73824c2c8432,electroacoustic music,Q9778,electronic music,1,3,3,ring,1956,,,,single,contemporary classical music | electronic music | experimental music,30
Q823560,edc96a6f-e8d0-4006-b065-d0fe188191c9,musique concrète,Q1326777,electroacoustic music,2,0,0,ring,1948,,,,single,electroacoustic music | modern classical music,35
Q423918,0464c047-e7df-4555-a4e0-86c8620b2671,acousmatic music,Q1326777,electroacoustic music,2,0,0,ring,1957,,,,single,electroacoustic music,13
Q3587612,a66b92bb-79dc-48ba-b9c8-bd501b984e2b,electroacoustic improvisation,Q1326777,electroacoustic music,2,0,0,ring,,,,,single,electroacoustic music | free improvisation,3
Q325504,c4a69842-f891-4569-9506-1882aa5db433,electronic rock,Q9778,electronic music,1,2,2,ring,1965,United Kingdom,,,single,electronic music | rock music,37
Q476983,c187da0e-48a0-4de5-b759-4ca2a1503008,synth-punk,Q325504,electronic rock,2,0,0,ring,1977,,,,single,electronic rock | punk music,16
Q25099691,2228bcbf-78ca-424a-bf37-9cfa1566d82e,neon pop-punk,Q325504,electronic rock,2,0,0,ring,2005,United States,,,single,electronic rock | pop rock | pop-punk,1
Q111387914,faf91afb-d07f-46dc-bf38-45200c22201f,moogsploitation,Q9778,electronic music,1,0,0,ring,1966,,,,single,electronic music,0
Q79784514,2d069613-cd1b-4ce8-ad90-d0925e4ff9c9,progressive electronic music,Q9778,electronic music,1,1,1,ring,1969,,,,single,progressive music | synth music,1
Q530750,ae93e318-c563-4bb7-9a48-eb2f4e4df96f,Berlin School of electronic music,Q79784514,progressive electronic music,2,0,0,ring,1974,Germany,,,single,progressive electronic music,12
Q16625659,cb058995-96b0-45ed-a3db-2f066bfe948d,space ambient,Q9778,electronic music,1,0,0,ring,1971,,,,single,ambient music | space music,0
